Países;Latitude;Longitude
Saint Helena,Ascension,Tristan da Cunha;-15.93;-5.7
Saint Lucia;13.88;-61.13
Samoa;-13.58;-172.33
San Marino;43.77;12.42
Sao Tome and Principe;1;7
Saudi Arabia;25;45
Senegal;14;-14
Serbia;44;21
Seychelles;-4.58;55.67
Sierra Leone;8.5;-11.5
Singapore;1.37;103.8
Slovakia;48.67;19.5
Slovenia;46;15
Solomon Islands;-8;159
Somalia;10;49
South Africa;-29;24
South Georgia and South Sandwich Islands;-54.5;-37
South Korea;37;127.5
Spain;40;-4
Sri Lanka;7;81
St Kitts and Nevis;17.33;-62.75
St Pierre and Miquelon;46.83;-56.33
St Vincent and the Grenadines;13.25;-61.2
Sudan;15;30
Suriname;4;-56
Svalbard and Jan Mayen;78;20
Swaziland;-26.5;31.5
Sweden;62;15
Switzerland;47;8
Syria;35;38
Taiwan;23.5;121
Tajikistan;39;71
Tanzania;-6;35
Thailand;15;100
Togo;8;1.17
Tokelau;-9;-172
Tonga;-20;-175
Trinidad and Tobago;11;-61
Tunisia;34;9
Turkey;39;35
Turkmenistan;40;60
Turks and Caicos Islands;21.75;-71.58
Tuvalu;-8;178
Uganda;1;32
Ukraine;49;32
United Arab Emirates;24;54
United Kingdom;54;-2
United States;38;-97
United States Minor Outlying Islands;19.28;166.6
Uruguay;-33;-56
Uzbekistan;41;64
Vanuatu;-16;167
Vatican City;41.9;12.45
Venezuela;8;-66
Viet-Nam;16;106
Virgin Islands, British;18.5;-64.5
Virgin Islands, U.S.;18.33;-64.83
Wallis and Futuna;-13.3;-176.2
Western Sahara;24.5;-13
Yemen;15;48
Zambia;-15;30
Zimbabwe;-20;30
